Taxon,State
Oxyagrion_ablutum,2
Acanthagrion_adustum,0
Acanthagrion_amazonicum,-
Acanthagrion_apicale,-
Acanthagrion_sp4,-
Acanthagrion_sp5,-
Acanthagrion_cuyabae,0
Acanthagrion_floridense,0
Acanthagrion_fluviatile,-
Acanthagrion_gracile,-
Acanthagrion_sp3,-
Acanthagrion_inexpectum,0
Acanthagrion_lancea,0
Acanthagrion_minutum,1
Acanthagrion_obsoletum,2
Acanthagrion_sp2,-
Acanthagrion_phallicorne,-
Acanthagrion_rubrifrons,2
Acanthagrion_sp1,-
Acanthagrion_temporale,1
Acanthagrion_trilobatum,0
Acanthagrion_vidua,-
Acanthagrion_yungarum,0
Aciagrion_africanum,-
Aciagrion_approximans,0
Aciagrion_bapepe,0
Aciagrion_borneense,0
Aciagrion_brosseti,-
Aciagrion_hisopa,0
Aciagrion_migratum,2
Aciagrion_nodosum,0
Aciagrion_occidentale,0
Aeolagrion_dorsale,0
Aeolagrion_inca,0
Aeolagrion_philipi,0
Africallagma_elongatum,-
Africallagma_glaucum,1
Africallagma_pseudelongatum,-
Africallagma_quingentum,2
Africallgama_vaginale,-
Agriocnemis_argentea,2
Agriocnemis_canuango,0
Agriocnemis_exilis,2
Agriocnemis_exsudans,2
Agriocnemis_femina,2
Agriocnemis_forcipata,2
Agriocnemis_inversa,2
Agriocnemis_kalinga,2
Agriocnemis_keralensis,2
Agriocnemis_lacteola,2
Agriocnemis_maclachlani,-
Agriocnemis_nana,0
Agriocnemis_pinheyi,2
Agriocnemis_pygmaea,0
Agriocnemis_salomonis,-
Agriocnemis_toto,-
Agriocnemis_victoria,2
Allocnemis_abbotti,0
Allocnemis_cyanura,0
Allocnemis_leucosticta,2
Allocnemis_marshalli,2
Allocnemis_nigripes,2
Allocnemis_pauli,0
Allocnemis_vicki,-
Amazoneura_ephippigera,0
Amazoneura_westfalli,-
Amphiagrion_abbreviatum,1
Amphiagrion_saucium,2
Amphicnemis_ecornuta,-
Amphicnemis_gracilis,2
Amphicnemis_martini,-
Amphicnemis_triplex,2
Amphicnemis_wallacii,2
Andinagrion_garrisoni,2
Anisagrion_allopterum,2
Anisagrion_inornatum,2
Anisagrion_kennedyi,0
Anomisma_abnorme,0
Apanisagrion_lais,0
Arabicnemis_caerulea,2
Archibasis_melanocyana,0
Archibasis_rebeccae,-
Archibasis_viola,2
Argentagrion_ambiguum,1
Argia_adamsi,1
Argia_agrioides,1
Argia_alberta,1
Argia_albistigma,1
Argia_anceps,2
Argia_apicalis,1
Argia_barretti,1
Argia_bipunctulata,2
Argia_botacudo,-
Argia_calida,-
Argia_cf.serva,-
Argia_chapadae,-
Argia_chelata,2
Argia_claussenii,2
Argia_collata,-
Argia_concinna,2
Argia_croceipennis,2
Argia_cupraurea,2
Argia_cuprea,2
Argia_difficilis,-
Argia_dives,-
Argia_emma,1
Argia_euphorbia,2
Argia_extranea,1
Argia_fissa,-
Argia_fraudatricula,-
Argia_frequentula,2
Argia_fulgida,-
Argia_fumigata,2
Argia_fumipennis,2
Argia_funcki,2
Argia_garrisoni,2
Argia_gaumeri,0
Argia_gerhardi,-
Argia_hamulata,-
Argia_harknessi,1
Argia_herberti,-
Argia_hinei,2
Argia_huanacina,0
Argia_immunda,1
Argia_inculta,2
Argia_indicatrix,1
Argia_infrequentula,-
Argia_insipida,0
Argia_jocosa,2
Argia_joergenseni,2
Argia_johanella,0
Argia_jujuya,2
Argia_kokama,-
Argia_lacrimans,1
Argia_leonorae,2
Argia_lilacina,2
Argia_limitata,2
Argia_lugens,2
Argia_medullaris,2
Argia_meioura,2
Argia_modesta,2
Argia_moesta,1
Argia_mollis,-
Argia_munda,1
Argia_nahuana,1
Argia_nigrior,-
Argia_oculata,1
Argia_oenea,1
Argia_orichalcea,2
Argia_pallens,2
Argia_pima,1
Argia_plana,1
Argia_pocomana,1
Argia_popoluca,2
Argia_pulla,2
Argia_reclusa,-
Argia_rhoadsi,1
Argia_sabino,1
Argia_sedula,2
Argia_smithiana,-
Argia_sordida,0
Argia_talamanca,0
Argia_tamoyo,-
Argia_tarascana,1
Argia_terira,2
Argia_tezpi,1
Argia_tibialis,1
Argia_tonto,0
Argia_translata,2
Argia_ulmeca,0
Argia_underwoodi,0
Argia_variabilis,-
Argia_variegata,2
Argia_vivida,1
Argia_westfalli,2
Argiocnemis_rubescens_rubeola,2
Argiocnemis_rubescens_rubescens,2
Austroagrion_cyane,2
Austroagrion_exclamationis,2
Austroagrion_watsoni,2
Austrocnemis_splendida,1
Austrocoenagrion_lyelli,0
Azuragrion_buchholzi,-
Azuragrion_nigridorsum,2
Azuragrion_vansomereni,2
Bromeliagrion_fernandezianum,-
Bromeliagrion_rehni,-
Calicnemia_chaseni,2
Calicnemia_eximia,2
Calicnemia_rectangulata,2
Calicnemia_sinensis,0
Calvertagrion_declivatum,2
Ceriagrion_aeruginosum,2
Ceriagrion_annulatum,2
Ceriagrion_auranticum,2
Ceriagrion_azureum,2
Ceriagrion_bakeri,-
Ceriagrion_banditum,-
Ceriagrion_bellona,2
Ceriagrion_calamineum,-
Ceriagrion_cerinorubellum,0
Ceriagrion_chaoi,2
Ceriagrion_corallinum,2
Ceriagrion_coromandelianum,0
Ceriagrion_fallax,2
Ceriagrion_glabrum,2
Ceriagrion_indochinense,2
Ceriagrion_junceum,-
Ceriagrion_katamborae,2
Ceriagrion_kordofanicum,-
Ceriagrion_malaisei,-
Ceriagrion_melanurum,2
Ceriagrion_nipponicum,2
Ceriagrion_obfuscans,-
Ceriagrion_olivaceum,0
Ceriagrion_platystigma,2
Ceriagrion_rubellocerinum,-
Ceriagrion_sakejii,-
Ceriagrion_suave,-
Ceriagrion_tenellum,1
Ceriagrion_whellani,0
Chromagrion_conditum,1
Coeliccia_albicauda,2
Coeliccia_axinocercus,-
Coeliccia_borneensis,-
Coeliccia_cf.kazukoae,0
Coeliccia_chromothorax,0
Coeliccia_cyaneothorax,-
Coeliccia_cyanomelas,2
Coeliccia_didyma,0
Coeliccia_dinoceras,-
Coeliccia_flavicauda,0
Coeliccia_flavostriata,0
Coeliccia_nemoricola,-
Coeliccia_octogesima,0
Coeliccia_poungyi,2
Coeliccia_ryukyuensis,0
Coenagriocnemis_insularis,0
Coenagriocnemis_rufipes,-
Coenagrion_angulatum,1
Coenagrion_caerulescens,1
Coenagrion_ecornutum,1
Coenagrion_glaciale,0
Coenagrion_hastulatum,1
Coenagrion_hylas,1
Coenagrion_intermedium,2
Coenagrion_interrogatum,1
Coenagrion_johanssoni,1
Coenagrion_lanceolatum,1
Coenagrion_lunulatum,1
Coenagrion_mercuriale,1
Coenagrion_puella,1
Coenagrion_pulchellum,1
Coenagrion_resolutum,1
Coenagrion_scitulum,1
Coenagrion_terue,1
Pseudocopera_annulata,2
Copera_congolensis,2
Copera_guttifera,2
Copera_marginipes,0
Copera_nyansana,-
Copera_rufipes,0
Copera_sikassoensis,0
Pseudocopera_rubripes,0
Copera_vittata,2
Coryphagrion_grandis,0
Cyanallagma_bonariense,0
Cyanallagma_interruptum,1
Cyanocnemis_aureofrons,-
Dolonagrion_fulvellum,2
Drepanoneura_muzoni,-
Drepanoneura_tennesseni,-
Elattoneura_acuta,2
Elattoneura_analis,-
Elattoneura_aurantiaca,2
Elattoneura_aurifex,-
Elattoneura_balli,2
Elattoneura_caesia,2
Elattoneura_cellularis,2
Elattoneura_centrafricana,-
Elattoneura_coomansi,2
Elattoneura_frenulata,2
Elattoneura_glauca,2
Elattoneura_josemorai,-
Elattoneura_lapidaria,-
Elattoneura_lliba,-
Elattoneura_nigra,2
Elattoneura_sp,2
Elattoneura_tarbotonorum,-
Elattoneura_tenax,2
Elattoneura_tsiamae,-
Elattoneura_vittata,-
Enallagma_anna,1
Enallagma_annexum,1
Enallagma_antennatum,2
Enallagma_aspersum,0
Enallagma_basidens,2
Enallagma_boreale,1
Enallagma_cardenium,1
Enallagma_carunculatum,1
Enallagma_circulatum,1
Enallagma_civile,1
Enallagma_clausum,1
Enallagma_coecum,0
Enallagma_concisum,2
Enallagma_cyathigerum,1
Enallagma_daeckii,1
Enallagma_davisi,1
Enallagma_divagans,0
Enallagma_doubledayi,1
Enallagma_dubium,2
Enallagma_durum,1
Enallagma_ebrium,1
Enallagma_exsulans,1
Enallagma_geminatum,0
Enallagma_hageni,1
Enallagma_minusculum,1
Enallagma_novaehispaniae,1
Enallagma_pollutum,0
Enallagma_praevarum,1
Enallagma_signatum,0
Enallagma_sulcatum,0
Enallagma_traviatum,0
Enallagma_vernale,1
Enallagma_vesperum,1
Enallagma_weewa,1
Epipleoneura_fuscaenea,0
Epipleoneura_lamina,0
Epipleoneura_metallica,-
Epipleoneura_sp,-
Epipleoneura_spatulata,0
Epipleoneura_venezuelensis,0
Erythromma_humerale,2
Erythromma_lindenii,2
Erythromma_najas,2
Erythromma_viridulum,2
Esme_mudiensis,0
Forcepsioneura_sancta,0
Helveciagrion_simulacrum,-
Hesperagrion_heterodoxum,0
Homeoura_chelifera,1
Homeoura_lindneri,1
Homeoura_nepos,-
Idiocnemis_obliterata,-
Idioneura_ancilla,0
Igneocnemis_antoniae,-
Igneocnemis_atripes,-
Igneocnemis_flammea,0
Indocnemis_ambigua,2
Indocnemis_orang,2
Inpabasis_hubelli,2
Inpabasis_rosea,-
Ischnura_armstrongi,2
Ischnura_asiatica,2
Ischnura_aurora,1
Ischnura_barberi,1
Ischnura_capreolus,1
Ischnura_cardinalis,2
Ischnura_cervula,1
Ischnura_cruzi,2
Ischnura_damula,1
Ischnura_demorsa,1
Ischnura_denticollis,1
Ischnura_elegans,1
Ischnura_erratica,1
Ischnura_evansi,1
Ischnura_ezoin,0
Ischnura_fluviatilis,1
Ischnura_fountaineae,1
Ischnura_foylei,1
Ischnura_gemina,1
Ischnura_graellsii,1
Ischnura_hastata,2
Ischnura_heterosticta,1
Ischnura_intermedia,2
Ischnura_kellicotti,0
Ischnura_pamelae,1
Ischnura_perparva,1
Ischnura_posita,0
Ischnura_prognata,2
Ischnura_pruinescens,2
Ischnura_pumilio,1
Ischnura_ramburii,1
Ischnura_rufostigma,1
Ischnura_saharensis,1
Ischnura_senegalensis,1
Ischnura_sp,2
Ischnura_taitensis,0
Ischnura_ultima,1
Ischnura_verticalis,1
Leptagrion_elongatum,0
Leptagrion_macrurum,2
Leptagrion_perlongum,0
Leptobasis_lucifer,2
Leptobasis_vacillans,1
Lieftinckia_lairdi,-
Lochmaeocnemis_malacodora,-
Matticnemis_doi,0
Platystigma_astictum,-
Platystigma_jocaste,0
Mecistogaster_linearis,0
Mecistogaster_lucretia,0
Platystigma_martinezi,-
Mecistogaster_modesta,0
Megalagrion_blackburni,1
Megalagrion_calliphya,1
Megalagrion_eudytum,2
Megalagrion_hawaiiense,1
Megalagrion_heterogamias,2
Megalagrion_nigrohamatum,0
Megalagrion_oahuense,2
Megalagrion_oresitrophum,2
Megalagrion_paludicola,-
Megalagrion_vagabundum,2
Megaloprepus_caerulatus,0
Melanesobasis_corniculata,0
Melanesobasis_flavilabris,0
Melanesobasis_mcleani,0
Mesamphiagrion_demarmelsi,-
Mesamphiagrion_dunklei,0
Mesocnemis_robusta,-
Mesocnemis_singularis,2
Mesoleptobasis_acuminata,0
Mesoleptobasis_cantralli,-
Mesoleptobasis_elongata,2
Metacnemis_valida,2
Metaleptobasis_byrsonima,0
Metaleptobasis_mauffrayi,0
Metaleptobasis_bicornis,-
Metaleptobasis_minteri,2
Metaleptobasis_quadricornis,0
Metaleptobasis_sp,-
Microstigma_anomalum,0
Microstigma_maculatum,-
Microstigma_rotundatum,0
Minagrion_mecistogastrum,2
Minagrion_waltheri,1
Mortonagrion_aborense,0
Mortonagrion_arthuri,2
Mortonagrion_hirosei,1
Mortonagrion_martini,-
Mortonagrion_selenion,2
Mortonagrion_stygium,-
Nehalennia_gracilis,1
Nehalennia_integricollis,0
Nehalennia_irene,1
Nehalennia_minuta,0
Nehalennia_pallidula,1
Nehalennia_speciosa,1
Neoerythromma_cultellatum,2
Neoneura_aaroni,2
Neoneura_amelia,2
Neoneura_bilinearis,2
Neoneura_confundens,2
Neoneura_denticulata,-
Neoneura_esthera,2
Neoneura_fulvicollis,2
Neoneura_joana,2
Neoneura_kiautai,-
Neoneura_leonardoi,-
Neoneura_maria,-
Neoneura_myrthea,2
Neoneura_rubriventris,2
Neoneura_sp,-
Neoneura_sylvatica,2
Nesobasis_sp4,0
Nesobasis_sp5,-
Nesobasis_sp9,-
Nesobasis_sp1,0
Nesobasis_erythrops,2
Nesobasis_flavifrons,0
Nesobasis_sp2,0
Nesobasis_sp7,-
Nesobasis_longistyla,0
Nesobasis_sp6,0
Nesobasis_sp3,0
Nesobasis_sp8,-
Nesobasis_telegastrum,-
Nososticta_erythrura,-
Nososticta_finisterrae,-
Nososticta_fraterna,0
Nososticta_kalumburu,0
Nososticta_liveringa,2
Nososticta_salomonis,2
Nososticta_solida,0
Nososticta_solitaria,2
Onychargia_atrocyana,0
Oreocnemis_phoenix,-
Oxyagrion_chapadense,-
Oxyagrion_hempeli,2
Oxyagrion_miniopsis,-
Oxyagrion_rubidum,2
Oxyagrion_simile,2
Oxyagrion_sulmatogrossense,-
Oxyagrion_tennesseni,-
Oxyagrion_terminale,2
Oxyallagma_dissidens,2
Pacificagrion_lachrymosa,2
Pacificagrion_sp,2
Palaiargia_charmosyna,-
Pandanobasis_cantuga,0
Papuagrion_marijanmatoki,2
Papuagrion_occipitale,-
Papuagrion_prothoracale,-
Paracercion_ambiguum,-
Paracercion_calamorum,1
Paracercion_dorothea,-
Paracercion_hieroglyphicum,2
Paracercion_melanotum,2
Paracercion_plagiosum,2
Paracercion_sieboldii,1
Paracercion_vnigrum,2
Paracnemis_alluaudi,-
Paramecocnemis_erythrostigma,-
Paramecocnemis_stillacruoris,-
Pericnemis_lestoides,-
Pericnemis_sp1,-
Pericnemis_sp2,-
Pericnemis_triangularis,-
Peristicta_aenoviridis,-
Peristicta_sp,0
Phasmoneura_exigua,2
Phoenicagrion_flammeum,0
Phoenicagrion_sp,-
Phoenicagrion_spn,-
Phylloneura_westermanni,0
Platycnemis_acutipennis,2
Platycnemis_echigoana,2
Platycnemis_foliacea,2
Platycnemis_latipes,2
Platycnemis_pennipes,2
Platycnemis_phyllopoda,2
Prodasineura_autumnalis,2
Prodasineura_collaris,0
Prodasineura_croconota,2
Prodasineura_dorsalis,2
Prodasineura_hyperythra,-
Prodasineura_integra,2
Prodasineura_interrupta,0
Prodasineura_notostigma,2
Prodasineura_sita,2
Prodasineura_verticalis,2
Proischnura_subfurcata,2
Proplatycnemis_hova,-
Proplatycnemis_malgassica,-
Proplatycnemis_pembipes,-
Proplatycnemis_sanguinipes,-
Proplatycnemis_spn.poodle,-
Protoneura_ailsa,2
Protoneura_amatoria,2
Protoneura_calverti,2
Protoneura_cara,0
Protoneura_macintyrei,0
Protoneura_paucinervis,2
Protoneura_romanae,0
Protoneura_scintilla,2
Protoneura_sulfurata,2
Protoneura_viridis,0
Protoneura_woytkowskii,2
Psaironeura_bifurcata,2
Psaironeura_remissa,2
Psaironeura_tenuissima,2
Pseudagrion_acaciae,2
Pseudagrion_aureofrons,2
Pseudagrion_aureolum,-
Pseudagrion_australasiae,1
Pseudagrion_bicoerulans,-
Pseudagrion_caffrum,2
Pseudagrion_citricola,2
Pseudagrion_dactylidium,-
Pseudagrion_deningi,0
Pseudagrion_epiphonematicum,2
Pseudagrion_glaucescens,0
Pseudagrion_glaucoideum,-
Pseudagrion_glaucum,0
Pseudagrion_hageni,0
Pseudagrion_hamoni,2
Pseudagrion_ignifer,0
Pseudagrion_incisurum,0
Pseudagrion_kersteni,2
Pseudagrion_kibalense,2
Pseudagrion_makabusiense,0
Pseudagrion_malagasoides,0
Pseudagrion_massaicum,2
Pseudagrion_melanicterum,0
Pseudagrion_microcephalum,1
Pseudagrion_munte,-
Pseudagrion_niloticum,-
Pseudagrion_nubicum,1
Pseudagrion_pacale,-
Pseudagrion_pilidorsum,2
Pseudagrion_pruinosum,2
Pseudagrion_rubriceps,2
Pseudagrion_salisburyense,2
Pseudagrion_samoense,-
Pseudagrion_sarepi,-
Pseudagrion_serrulatum,-
Pseudagrion_sjoestedti,2
Pseudagrion_sp,-
Pseudagrion_spencei,2
Pseudagrion_spernatum,2
Pseudagrion_sublacteum,2
Pseudagrion_tanganyicum,-
Pseudagrion_torridum,1
Pseudocopera_ciliata,2
Pyrrhosoma_elisabethae,2
Pyrrhosoma_nymphula,1
Ischnura_nursei,1
Risiocnemis_appendiculata,-
Risiocnemis_erythrura,-
Risiocnemis_praeusta,-
Salomocnemis_gerdae,-
Sangabasis_dentifer,0
Schistolobos_boliviensis,-
Spesbona_angusta,0
Stenagrion_dubium,-
Stenocnemis_pachystigma,-
Teinobasis_aerides,-
Teinobasis_alluaudi,0
Teinobasis_ariel,-
Teinobasis_bradleyi,-
Teinobasis_carolinensis,-
Teinobasis_cryptica,0
Teinobasis_filamenta,2
Teinobasis_fortis,0
Teinobasis_laidlawi,2
Teinobasis_nigrolutea,-
Teinobasis_rajah,0
Teinobasis_ruficollis,0
Teinobasis_rufithorax,2
Teinobasis_scintillans,-
Teinobasis_sjupp,-
Telagrion_longum,2
Telebasis_brevis,-
Telebasis_byersi,2
Telebasis_carmesina,2
Telebasis_carota,-
Telebasis_collopistes,-
Telebasis_corallina,2
Telebasis_demarara,0
Telebasis_digiticollis,2
Telebasis_dominicana,-
Telebasis_dunklei,-
Telebasis_filiola,2
Telebasis_garleppi,0
Telebasis_gigantea,-
Telebasis_griffinii,-
Telebasis_inalata,-
Telebasis_levis,2
Telebasis_livida,-
Telebasis_obsoleta,2
Telebasis_rubricauda,-
Telebasis_salva,2
Telebasis_sanguinalis,-
Telebasis_simulata,2
Telebasis_theodori,-
Telebasis_vulnerata,2
Telebasis_willinki,2
Thaumatagrion_funereum,-
Tigriagrion_aurantinigrum,0
Torrenticnemis_filicornis,-
Tuberculobasis_geijskesi,-
Tuberculobasis_sp,-
Vanuatubasis_sp,-
Xanthagrion_erythroneura,2
Xanthocnemis_tuanuii,1
Xanthocnemis_zealandica,1
Xiphiagrion_cyanomelas,0
Zoniagrion_exclamationis,0
